phase,G_b,chi,growth_time,status,score,target_frechet_distance_px,target_curvature_rmse_px_inv,target_feature_loss,observed_growth_rate,model_growth_rate,growth_rate_loss,failure_reason
coarse,1.35,0.0003,0.02,computed,136.24792741510905,21.68159517399073,0.2889545796453452,124.22717273807973,0.5475685218156996,-0.006131853349384773,1.0225220638670973,
coarse,1.35,0.0003,0.05,computed,145.92175920104,21.780143902263376,0.28713782481982075,133.84873073986762,0.5475685218156996,-0.006749862041563317,1.0248058989969049,
coarse,1.35,0.0006,0.02,computed,140.4664680033369,21.77264544685184,0.2873729327711722,128.3974169824825,0.5475685218156996,-0.006702865336286967,1.0246321343860758,
coarse,1.35,0.0006,0.05,computed,133.1539060603514,21.708899076616802,0.29055118377312267,121.11866838540422,0.5475685218156996,-0.006303155301998051,1.0231548505842354,
coarse,1.35,0.001,0.02,computed,137.6205735173665,40.132247180119535,0.29465439296831253,116.24177534221603,0.5475685218156996,-0.005791436607377818,1.0212651507647723,
coarse,1.35,0.001,0.05,computed,140.58052227191587,40.22637601988658,0.29305222666042,119.15377334102142,0.5475685218156996,-0.005846388360191718,1.021467995570577,
coarse,1.925,0.0001,0.02,computed,120.73966130313683,21.45920319361511,0.29656272172020975,108.83687232096659,0.5475685218156996,-0.004734398218926929,1.0173671982779537,
coarse,1.925,0.0001,0.05,computed,132.83920828842028,21.611992597933067,0.2902090653322845,120.85537348222671,0.5475685218156996,-0.005694908074557405,1.0209088812991873,
coarse,1.925,0.0003,0.02,computed,136.24145945004847,21.681427375474982,0.28895661403528655,124.22079377961153,0.5475685218156996,-0.0061308004168218145,1.022518174956047,
coarse,1.925,0.0003,0.05,computed,145.91212491540523,21.77957306482739,0.2871397530434906,133.83939924611283,0.5475685218156996,-0.006746284462918455,1.0247926708162243,
coarse,1.925,0.0006,0.02,computed,140.45571340927268,21.77232828809551,0.2873701802554567,128.3868306204367,0.5475685218156996,-0.006700877440655447,1.024624784708144,
coarse,1.925,0.0006,0.05,computed,133.67189062937084,21.71100334954528,0.290474430888289,121.6355367712543,0.5475685218156996,-0.006316354864264625,1.0232036176818888,
coarse,1.925,0.001,0.02,computed,137.74323441629207,40.13165622322448,0.2946120863037826,116.36470175769308,0.5475685218156996,-0.0058007163046029046,1.0212994037341276,
coarse,1.925,0.001,0.05,computed,140.86161619808018,40.2253206359211,0.2929777925774062,119.43536241720253,0.5475685218156996,-0.0058572795587478275,1.0215082009211163,
coarse,2.5,0.0001,0.02,computed,120.73653657661806,21.459095750478838,0.29656441764256863,108.83380458696243,0.5475685218156996,-0.00473372212852722,1.0173647075007013,
coarse,2.5,0.0001,0.05,computed,132.83278097058746,21.611684667957462,0.2902131757080564,120.84910950254331,0.5475685218156996,-0.005692974128671635,1.0209017440876047,
coarse,2.5,0.0003,0.02,computed,136.23499002475316,21.6812595675259,0.28895864993439574,124.21441336591315,0.5475685218156996,-0.0061297474228474615,1.0225142858255756,
coarse,2.5,0.0003,0.05,computed,145.9024798697154,21.779002260260654,0.28714168272447577,133.83005697487727,0.5475685218156996,-0.006742707064677421,1.0247794433879591,
coarse,2.5,0.0006,0.02,computed,140.44496240851936,21.77201091977838,0.2873674346004452,128.37624796286303,0.5475685218156996,-0.006698888223621869,1.0246174301710902,
coarse,2.5,0.0006,0.05,computed,134.1785012056655,21.712988697662183,0.2904006298393743,122.14109424655537,0.5475685218156996,-0.0063288081223440915,1.0232496285498505,
