cell,G_b,chi,actual_G_b,actual_chi,label,waveform_class,unresolved_reason,dominant_mode,A_max_over_L,first_mode_fraction,curvature_rms,onset_time,dissipation_energy,accepted_steps,rejected_steps,failure_reason
gb_0.12_chi_0.00018,0.12,0.00018,0.12,0.00018,straight,sub_threshold_transient,sub_threshold_transient,1,0.013714841971385358,0.9975430404181814,0.25256451100154864,,1525.5396988016462,237,352,
gb_0.12_chi_0.00025,0.12,0.00025,0.12,0.00025,straight,sub_threshold_transient,sub_threshold_transient,1,0.01435401650077743,0.9982902434831789,1.0034774012335808,,1290.4254747183288,214,309,
gb_0.12_chi_0.00035,0.12,0.00035,0.12,0.00034999999999999994,straight,sub_threshold_transient,sub_threshold_transient,1,0.015270068045873142,0.9991138771162439,0.08773950459493492,,1208.9064801727122,203,286,
gb_0.12_chi_0.0005,0.12,0.0005,0.12,0.0005,straight,sub_threshold_transient,sub_threshold_transient,1,0.017397994301386353,0.9991109530730853,1.5843419436099198,,1229.4580496711158,203,289,
gb_0.12_chi_0.0007,0.12,0.0007,0.12,0.0006999999999999999,straight,sub_threshold_transient,sub_threshold_transient,1,0.020543130241452094,0.9994952361300382,0.33281378494992553,,1351.041149500269,219,312,
gb_0.12_chi_0.001,0.12,0.001,0.12,0.001,straight,sub_threshold_transient,sub_threshold_transient,1,0.026096435523532684,0.9997166542269383,1.1998707540494604,,1455.578871187989,234,333,
gb_0.16_chi_8e-05,0.16,8e-05,0.16,8e-05,straight,sub_threshold_transient,sub_threshold_transient,1,0.025748339395289872,0.6624546490523165,1.6863723400933743,,1374.468364252928,219,320,
gb_0.16_chi_0.000125,0.16,0.000125,0.16,0.000125,straight,sub_threshold_transient,sub_threshold_transient,1,0.018877002996410874,0.8979053584497912,0.5328721323136817,,1389.1227213201648,224,328,
gb_0.16_chi_0.00018,0.16,0.00018,0.16,0.00018,straight,sub_threshold_transient,sub_threshold_transient,1,0.014441187941938022,0.9983696141993852,0.9380232112212822,,1181.7780056070562,214,309,
gb_0.16_chi_0.00025,0.16,0.00025,0.16,0.00025,straight,sub_threshold_transient,sub_threshold_transient,1,0.016117238866442153,0.9979559716409854,1.4510163963374902,,1199.8874872756305,205,293,
gb_0.16_chi_0.00035,0.16,0.00035,0.16,0.00034999999999999994,straight,sub_threshold_transient,sub_threshold_transient,1,0.018917644441011166,0.9969637416011434,0.173996189298145,,1239.340241561677,205,291,
