case,time,step,n_nodes,reference_length,contour_length,radius_of_gyration,arc_length_weighted_radius_of_gyration,max_transverse_displacement,max_curvature,rms_curvature,fold_count,endpoint_distance,contact_length,active_contact_pairs,max_penetration,penetration_ratio,finite_radius_contact_pairs,centerline_intersection_pairs,self_loop_count,fold_wavelength,fold_periodicity,energy_stretch,energy_bend,energy_contact,energy_total,dissipation_work_step,growth_work_step,dissipation_work,growth_work,remesh_interval
grid_growth_rate=0.1_contact_stiffness=5_diameter=0.35_bending_stiffness=0.05,0.014000000000000005,14,7,1.980001922125035,1.976558640775148,0.5368550005684627,0.47837220056424634,0.6424307364213387,1.7457053552663355,1.4880018960003347,0,1.2732395447351628,1.2915029027136944,4,0.04575576714570834,0.1307307632734524,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,1.976558640775148,0.7183734551653596,0.2887040300745167,0.09775157700909323,0.010747114841442949,0.3972027219250529,0.569713339640623,0.755439206919951,0.9004018136996257,1.191779863047444,False
grid_growth_rate=0.1_contact_stiffness=5_diameter=0.35_bending_stiffness=0.05,0.015000000000000006,15,7,1.980199932217587,1.980518958485679,0.5401165588703254,0.4796988054963064,0.6360499773397015,1.8874126395378117,1.5261725371841497,0,1.2732395447351628,0.6177037363451454,2,0.04114813182829874,0.1175660909379964,"[[1, 3], [2, 4]]",[],2,0.9902594792428395,0.4969037220143118,0.7954156274123242,0.10342310470802737,0.008465843764436666,0.9073045758847883,1.5652884252400683,2.075390279199804,2.465690238939694,3.267170142247248,False
grid_growth_rate=0.1_contact_stiffness=5_diameter=0.35_bending_stiffness=0.05,0.016000000000000007,16,7,1.9803979621121386,1.9762088045609405,0.5354834413068607,0.4775465778867597,0.6452456406316611,2.0103722206930583,1.4710843877975037,0,1.2732395447351628,0.7249924952731384,2,0.08860668773199532,0.2531619649485581,"[[0, 2], [3, 5]]",[],2,1.9762088045609405,0.8158799943672299,2.1007304409617693,0.09567688509339985,0.03925572555294826,2.2356630516081175,4.1880013646305665,5.516359840353896,6.653691603570261,8.783529982601145,False
grid_growth_rate=0.1_contact_stiffness=5_diameter=0.35_bending_stiffness=0.05,0.016500000000000008,17,7,1.9804969844857832,1.980425703041667,0.5392396765698719,0.47954876318025225,0.6357245345016554,1.8034301965829878,1.514833984576857,0,1.2732395447351628,0.6370874665156268,2,0.031456266743314865,0.08987504783804248,"[[1, 3], [2, 4]]",[],2,0.9902128515208335,0.5981179495781925,0.23425231352754358,0.10179800304063615,0.0049474835867779655,0.34099780015495773,5.7076479679805665,3.8129827165274066,12.361339571550827,12.596512699128551,False
grid_growth_rate=0.1_contact_stiffness=5_diameter=0.35_bending_stiffness=0.05,0.01750000000000001,18,7,1.9806950440870468,1.9774071937901663,0.5365612688524581,0.4783193969541681,0.6410454554255344,1.742922464439022,1.4819252221958295,0,1.2732395447351628,1.2803655570249173,4,0.05753972566150217,0.1643992161757205,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,1.9774071937901663,0.5584696274418052,0.6260467463947431,0.09699871836432104,0.016565040036204286,0.7396105047952685,1.2459153143779504,1.6445280190182612,13.607254885928779,14.241040718146813,False
grid_growth_rate=0.1_contact_stiffness=5_diameter=0.35_bending_stiffness=0.05,0.01850000000000001,19,7,1.9808931234952607,1.9843935984519676,0.541546026831189,0.4802008540607795,0.6318506006368155,2.1220940173496485,1.5456784719791687,0,1.2732395447351628,0.5999565346412322,2,0.05002173268518162,0.14291923624337607,"[[1, 3], [2, 4]]",[],2,0.9921967992259838,0.4493213874632254,1.7056267549489375,0.1069655539146529,0.0125108687012387,1.825103177564829,3.3871308207404085,4.472623493509969,16.99438570666919,18.713664211656784,False
grid_growth_rate=0.1_contact_stiffness=5_diameter=0.35_bending_stiffness=0.05,0.01950000000000001,20,7,1.9810912227124062,1.9765918335730368,0.5349230564196665,0.4771974960794599,0.6430382290404981,2.0822398655563075,1.4611138838603397,0,1.2732395447351628,0.7565834567781171,2,0.11893403774358716,0.339811536410249,"[[0, 2], [3, 5]]",[],2,1.9765918335730368,0.6601910739087574,4.3962752666193765,0.09445950518226108,0.07072652665914043,4.561461298460778,8.882257696296813,11.618615817192762,25.876643402966003,30.332280028849546,False
grid_growth_rate=0.1_contact_stiffness=5_diameter=0.35_bending_stiffness=0.05,0.02,21,7,1.981190279749947,1.9843512651705184,0.5401776532229932,0.4801208333413547,0.6295678759305862,1.9854650109928038,1.5301883213510703,0,1.2732395447351628,0.6289580250642499,2,0.035520987475134214,0.10148853564324062,"[[1, 3], [2, 4]]",[],2,0.9921756325852592,0.51134339225896,0.4787708767939374,0.10480150411711872,0.006308702753464671,0.5898810836645207,11.923964668165597,7.95238445336934,37.8006080711316,38.284664482218886,False
grid_growth_rate=0.1_contact_stiffness=5_diameter=0.35_bending_stiffness=0.1,0.0,0,7,1.9772318589307387,1.9772318589307387,0.5385934789856612,0.4799822910880073,0.6366197723675813,1.5707963267948981,1.5172727398911934,0,1.2732395447351628,1.318154572620492,4,0.020461356844877043,0.05846101955679155,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,,0.0,0.0,0.20327600267580112,0.00418667123933391,0.20746267391513504,0.0,0.0,0.0,0.0,False
grid_growth_rate=0.1_contact_stiffness=5_diameter=0.35_bending_stiffness=0.1,0.001,1,7,1.9774295920031206,1.9762185510304195,0.5383197654464564,0.47960032197194674,0.6367961650261953,1.582047919198527,1.513249199847087,0,1.2732395447351628,1.316958649602311,4,0.02079683290350609,0.05941952258144598,"[[0, 2], [1, 3], [2, 4], [3, 5]]",[],2,1.9762185510304195,0.42402206847532986,6.870499366764156e-05,0.20214627356731496,0.004237235833641038,0.20645221439462366,0.0010685441661863139,5.808464567493856e-05,0.0010685441661863139,5.808464567493856e-05,False
